Algeria,Algiers
Angola,Luanda
Benin,Porto-Novo
Botswana,Gaborone
Burkina Faso,Ouagadougou
Burundi,Bujumbura
Cameroon,Yaounde
The Republic of Cabo Verde,Praia
The Central African Republic,Bangui
Chad,N'Djamena
Comoros,Moroni
Democratic Republic of Congo,Kinshasa
Republic of Congo,Brazzaville
Cote d'Ivoire,Yamoussoukro
Djibouti,Djibouti
Egypt,Cairo
Equatorial Guinea,Malabo
Eritrea,Asmara
Ethiopia,Addis Ababa
Gabon,Libreville
Gambia,Banjul
Ghana,Accra
Guinea,Conakry
Guinea-Bissau,Bissau
Kenya,Nairobi
Lesotho,Maseru
Liberia,Monrovia
Libya,Tripoli
Madagascar,Antananarivo
Malawi,Lilongwe
Mali,Bamako
Mauritania,Nouakchott
Mauritius,Port Louis
Morocco,Rabat
Mozambique,Maputo
Namibia,Windhoek
Niger,Niamey
Nigeria,Abuja
Rwanda,Kigali
Republic Arab Saharawi Democratic,Aauin
Sao Tome and Principe,Sao Tome
Senegal,Dakar
Seychelles,Victoria
Sierra Leone,Freetown
Somalia,Mogadishu
South Africa,Pretoria * Bloemfontein * CapeTown
South Sudan,Juba
Sudan,Khartoum
Swaziland,Lobamba * Mbabane
Tanzania,Dar es Salaam * Dodoma
Togo,Lome
Tunisia,Tunis
Uganda,Kampala
Zambia,Lusaka
Zimbabwe,Harare
