title,views,link,upload_date,likes,dislikes
Τους έδειξα τον βασιλιά και έτρεξαν τα σάλια τους!,"79,020",https://www.youtube.com/watch?v=HBnnMnbMMcg,"Oct 5, 2020","9,009",64
SIMULIA  - Tank Sloshing Simulation,"5,147,672",https://www.youtube.com/watch?v=56cxOzgl-mc,"Aug 21, 2019","41,756","1,205"
3 Hours of Deep Focus Music for Studying - Ambient Study Music to Concentrate,"352,470",https://www.youtube.com/watch?v=jrsxFEpwSlk,"Jul 27, 2020",884,9
Clarkson's Favourite Rally Battle: 1983 Audi Quattro VS. Lancia 037 | Amazon Prime Video NL,"689,890",https://www.youtube.com/watch?v=6lo4dGTrzr8,"Aug 17, 2020","15,139",285
Γιάννα Τερζή & Πασχάλης Τερζής - Για Σένα Μόνο (Official Music Video),"800,265",https://www.youtube.com/watch?v=K9SZY8hje8k,"Sep 28, 2020","27,678",206
ΗΛΙΑΣ ΚΑΜΠΑΚΑΚΗΣ LIVE | NYXTA στον ΡΥΘΜΟ (full show Ρυθμός 949),"77,262",https://www.youtube.com/watch?v=F6ZXUA6QDOE,"Streamed live Sep 30, 2020","2,182",34
Billie Eilish - No Time To Die,"9,882,079",https://www.youtube.com/watch?v=BboMpayJomw,"Oct 1, 2020","1,056,016","17,051"
Τα πιο συναρπαστικά διαστημικά νέα του καλοκαιριού | Διαστημικά Νέα (#5),"76,491",https://www.youtube.com/watch?v=MMMe7k7xlrk,"Sep 30, 2020","6,137",44
Το δηλητήριο που σε κρατάει ζωντανό - What the Fact?! #60,"163,619",https://www.youtube.com/watch?v=jbND1erk7WE,"Oct 1, 2020","15,566",185
"""ΠΡΟΒΛΗΜΑ"" Part 1 . Stand up comedy Special . Live ΟΑΚΑ . Κώστας Μαλιάτσης Salas","33,081",https://www.youtube.com/watch?v=pSDTi4fGAOM,"Oct 4, 2020","3,091",31
"ΧΙΛΙΟΜΕΤΡΑ - Madclip, Hawk, Light, Sapranov (Official Music Video)","1,142,911",https://www.youtube.com/watch?v=E2uYN256Jco,"Oct 2, 2020","58,401","1,944"
Προσωπικά Ροζ Βίντεο & Προπαγάνδα! (Γενική Συζήτηση #13),"162,079",https://www.youtube.com/watch?v=eWk8y8a-d_Q,"Oct 3, 2020","27,536",338
Dua Lipa - Levitating Featuring DaBaby (Official Music Video),"4,649,649",https://www.youtube.com/watch?v=TUVcZfQe-Kw,"Oct 2, 2020","461,254","5,436"
